Transaccion_ID, SKU_ID   , Fecha_Venta, Cantidad_Vendida, Precio_Venta_Final, Costo_Envio, Tiempo_Entrega_Real, Estado_Envio, Ciudad_Destino, Canal_Venta, Feedback_ID, Rating_Producto, Rating_Logistica, Comentario_Texto, Recomienda_Marca, Ticket_Soporte_Abierto, Edad_Cliente, Satisfaccion_NPS, Categoria  , Stock_Actual, Costo_Unitario_USD, Punto_Reorden, Lead_Time_Dias, Bodega_Origen, Ultima_Revision, Rating_Servicio
TRX-10036     , PROD-2393, 2025-09-16 ,                2,             671.92,       52.36,                   1, Retrasado   , Barranquilla  , Online     , FB-9752    ,               1,                4, Lento           , MAYBE           , Sí                    ,           30, 80.9            , Laptops    , 132.0       ,             751.07,           271,              3, ZONA_FRANCA  , 2025-04-24     ,             0.8
TRX-10046     , PROD-2408, 2025-12-08 ,                4,             386.45,       83.03,                   9, En Camino   , Bogotá        , Online     , FB-10247   ,               4,                2, Excelente       , NO              , Sí                    ,           49, 4.3             , Smartphones, 985.0       ,             221.06,           167,             27, NORTE        , 2025-06-02     ,             1.6
TRX-10051     , PROD-2881, 2026-01-08 ,                1,            1612.98,       83.74,                   2, Retrasado   , Cali          , Online     , FB-9272    ,               2,                5, Precio justo    , NO              , No                    ,           30, -56.6           , Tablets    , 1038.0      ,            1060.2 ,           269,             27, SUR          , 2025-03-04     ,             2.0
TRX-10052     , PROD-3196, 2025-05-14 ,                3,             763.16,       55.52,                   5, Retrasado   , Medellín      , Físico     , FB-8433    ,               4,                5, Excelente       , SI              , Sí                    ,           24, 11.4            , Smartphones, 53.0        ,             958.86,           108,              0, SUR          , 2025-12-11     ,             4.0
TRX-10060     , PROD-2481, 2024-09-26 ,               12,            1522.44,       52.36,                  15, Devuelto    , Bucaramanga   , App        , FB-8481    ,               4,                4, Dañado          , NO              , Sí                    ,           54, 20.2            , Monitores  , 901.0       ,             353.19,           122,              0, NORTE        , 2025-12-25     ,             3.2
TRX-10060     , PROD-2481, 2024-09-26 ,               12,            1522.44,       52.36,                  15, Devuelto    , Bucaramanga   , App        , FB-10595   ,               4,                3, Precio justo    , SI              , Sí                    ,           44, -58.4           , Monitores  , 901.0       ,             353.19,           122,              0, NORTE        , 2025-12-25     ,             2.4
TRX-10068     , PROD-2185, 2025-06-24 ,                8,             626.15,       23.19,                  11, Perdido     , Medellín      , Online     , FB-9102    ,               2,                5, Lento           , MAYBE           , Sí                    ,           46, 25.3            , Accesorios , 1769.0      ,             604.08,           157,              5, NORTE        , 2024-05-12     ,             2.0
TRX-10068     , PROD-2185, 2025-06-24 ,                8,             626.15,       23.19,                  11, Perdido     , Medellín      , Online     , FB-10686   ,               4,                1, No volvería     , NO              , No                    ,           19, -73.5           , Accesorios , 1769.0      ,             604.08,           157,              5, NORTE        , 2024-05-12     ,             0.8
TRX-10070     , PROD-1953, 2025-07-23 ,                4,            1645.75,       52.57,                  20, Retrasado   , Ventas_Web    , Online     , FB-8239    ,               1,                1, No volvería     , MAYBE           , No                    ,           83, -41.1           , Accesorios , 1903.0      ,            1140.15,           281,              0, NORTE        , 2024-05-24     ,             0.2
TRX-10076     , PROD-2494, 2024-10-23 ,               13,             650.77,       14.02,                  29, Perdido     , Ventas_Web    , Físico     , FB-8900    ,               3,                2, Lento           , SI              , No                    ,           24, 67.0            , Laptops    , 771.0       ,            1374.18,           161,              3, ZONA_FRANCA  , 2024-10-16     ,             1.2
TRX-10076     , PROD-2494, 2024-10-23 ,               13,             650.77,       14.02,                  29, Perdido     , Ventas_Web    , Físico     , FB-10941   ,               1,                5, Excelente       , MAYBE           , No                    ,           59, -11.5           , Laptops    , 771.0       ,            1374.18,           161,              3, ZONA_FRANCA  , 2024-10-16     ,             1.0
TRX-10080     , PROD-1858, 2025-09-16 ,               12,            1664.99,        8.22,                  28, Retrasado   , Ventas_Web    , App        , FB-10987   ,               5,                2, No volvería     , SI              , No                    ,           56, -58.8           , Tablets    , 833.0       ,             460.76,           181,              3, ZONA_FRANCA  , 2025-08-10     ,             2.0
TRX-10082     , PROD-2093, 2025-06-25 ,               14,            1189.25,       86.26,                  28, Retrasado   , Barranquilla  , Físico     , FB-10801   ,               4,                4, Excelente       , SI              , Sí                    ,           54, -48.5           , Smartphones, 1825.0      ,             399.69,           140,             27, NORTE        , 2024-10-14     ,             3.2
TRX-10087     , PROD-3495, 2024-12-13 ,                5,            1895.65,       15.1 ,                  23, Retrasado   , Cali          , Online     , FB-9525    ,               1,                3, Precio justo    , MAYBE           , Sí                    ,           39, 50.3            , Smartphones, 832.0       ,             910.57,           161,              0, BOD-EXT-99   , 2024-07-04     ,             0.6
TRX-10095     , PROD-2554, 2025-09-30 ,                1,             364.35,       16.2 ,                  24, Entregado   , Medellín      , Online     , FB-9806    ,               3,                1, Excelente       , SI              , Sí                    ,           82, 66.0            , Accesorios , 182.0       ,             583.96,           297,              0, SUR          , 2025-01-07     ,             0.6
TRX-10096     , PROD-2105, 2025-01-29 ,                1,            1584.38,       52.36,                  20, Retrasado   , Ventas_Web    , Online     , FB-9763    ,               3,                5, Lento           , SI              , Sí                    ,           67, -94.5           , Accesorios , 841.0       ,             204.86,           282,              5, OCCIDENTE    , 2024-05-05     ,             3.0
TRX-10099     , PROD-3281, 2025-05-11 ,               13,             850.9 ,       35.18,                  16, Entregado   , Medellín      , Físico     , FB-9028    ,               1,                5, Precio justo    , MAYBE           , No                    ,           48, 2.9             , Smartphones, 39.0        ,            1366.25,           241,              0, BOD-EXT-99   , 2024-07-17     ,             1.0
TRX-10105     , PROD-1131, 2025-09-12 ,               13,             891.08,       34.68,                  12, Entregado   , Ventas_Web    , Online     , FB-9177    ,               2,                1, Excelente       , SI              , Sí                    ,           51, -1.5            , Monitores  , 1572.0      ,             570.85,           287,             10, NORTE        , 2025-01-15     ,             0.4
TRX-10105     , PROD-1131, 2025-09-12 ,               13,             891.08,       34.68,                  12, Entregado   , Ventas_Web    , Online     , FB-11396   ,               1,                1, Lento           , NO              , Sí                    ,           27, 16.7            , Monitores  , 1572.0      ,             570.85,           287,             10, NORTE        , 2025-01-15     ,             0.2
TRX-10109     , PROD-1271, 2025-02-15 ,                5,            1454.49,       80.21,                  26, Devuelto    , Medellín      , App        , FB-9703    ,               2,                4, Lento           , MAYBE           , Sí                    ,           52, 67.5            , Smartphones, 253.0       ,            1393.37,           242,              0, SUR          , 2025-06-04     ,             1.6
TRX-10110     , PROD-1864, 2025-12-13 ,               14,            1370.16,       63.93,                  10, Perdido     , Medellín      , Físico     , FB-8493    ,               5,                1, Excelente       , NO              , No                    ,           82, -22.3           , Accesorios , 1733.0      ,            1208.05,           176,              5, SUR          , 2025-02-03     ,             1.0
TRX-10113     , PROD-2288, 2024-12-18 ,                1,            1369.13,       29.94,                   2, Retrasado   , Bogotá        , App        , FB-9786    ,               2,                2, Excelente       , NO              , No                    ,           43, 48.2            , Accesorios , 1795.0      ,            1075.55,           164,             10, BOD-EXT-99   , 2024-06-11     ,             0.8
TRX-10116     , PROD-3044, 2025-06-14 ,               13,             332.99,       31.02,                  17, Retrasado   , Medellín      , App        , FB-8282    ,               4,                4, Dañado          , SI              , No                    ,           24, -98.8           , Smartphones, 1207.0      ,            1389.41,           151,              5, NORTE        , 2025-08-25     ,             3.2
TRX-10119     , PROD-2879, 2025-10-19 ,                4,             258.81,        9.13,                  11, Devuelto    , Cali          , App        , FB-9716    ,               1,                3, Dañado          , NO              , Sí                    ,           83, 64.3            , Laptops    , 1032.0      ,            1399.47,           270,              0, SUR          , 2025-03-21     ,             0.6
TRX-10121     , PROD-2084, 2025-10-16 ,                8,             758.21,       44.63,                  22, Entregado   , Ventas_Web    , Online     , FB-8787    ,               2,                4, No volvería     , NO              , Sí                    ,           26, -95.3           , Laptops    , 1440.0      ,             551.09,           176,             27, ZONA_FRANCA  , 2025-03-27     ,             1.6
TRX-10124     , PROD-3299, 2025-01-29 ,                9,            1340.44,        6.86,                  22, Retrasado   , Ventas_Web    , Físico     , FB-10676   ,               1,                5, Dañado          , SI              , No                    ,           78, 50.6            , Tablets    , 925.0       ,             257.44,           199,              0, ZONA_FRANCA  , 2024-10-22     ,             1.0
TRX-10127     , PROD-3394, 2026-01-01 ,                6,             782.22,       59.05,                   9, Retrasado   , Barranquilla  , App        , FB-10026   ,               3,                5, No volvería     , SI              , No                    ,           61, -31.4           , Monitores  , 1882.0      ,             567.01,           176,             27, NORTE        , 2024-05-09     ,             3.0
TRX-10130     , PROD-2635, 2025-01-28 ,                6,            1160.63,       36.64,                  28, Entregado   , Bogotá        , App        , FB-10486   ,               5,                4, Lento           , MAYBE           , No                    ,           67, 0.1             , Smartphones, 1411.0      ,             459.7 ,           116,             10, BOD-EXT-99   , 2025-02-28     ,             4.0
TRX-10130     , PROD-2635, 2025-01-28 ,                6,            1160.63,       36.64,                  28, Entregado   , Bogotá        , App        , FB-11495   ,               4,                4, No volvería     , SI              , No                    ,           35, 61.4            , Smartphones, 1411.0      ,             459.7 ,           116,             10, BOD-EXT-99   , 2025-02-28     ,             3.2
TRX-10131     , PROD-2482, 2025-03-15 ,               12,            1976.23,       36.33,                   2, Retrasado   , Medellín      , Online     , FB-9846    ,               5,                2, Lento           , SI              , No                    ,           60, -50.4           , Laptops    , 1955.0      ,             239.01,           290,              3, NORTE        , 2024-06-20     ,             2.0
TRX-10132     , PROD-1898, 2025-12-03 ,                6,            1385.27,       52.36,                  17, Perdido     , Bucaramanga   , Online     , FB-8448    ,               2,                3, Excelente       , MAYBE           , Sí                    ,           23, -59.9           , Smartphones, 1731.0      ,            1160.5 ,           108,              0, SUR          , 2025-03-18     ,             1.2
TRX-10136     , PROD-1372, 2025-10-06 ,                7,             628.88,       79.38,                   3, Retrasado   , Cali          , Online     , FB-11253   ,               5,                5, Lento           , MAYBE           , Sí                    ,           32, 11.5            , Tablets    , 1326.0      ,             108.2 ,           175,             10, OCCIDENTE    , 2024-12-18     ,             5.0
TRX-10138     , PROD-1449, 2025-12-04 ,               11,            1056.48,       68.32,                  16, Perdido     , Cali          , App        , FB-8259    ,               2,                5, Precio justo    , MAYBE           , No                    ,           68, 86.5            , Laptops    , 1378.0      ,             910.52,           166,              5, SUR          , 2024-05-29     ,             2.0
TRX-10138     , PROD-1449, 2025-12-04 ,               11,            1056.48,       68.32,                  16, Perdido     , Cali          , App        , FB-10383   ,               1,                1, Excelente       , MAYBE           , No                    ,           59, 87.3            , Laptops    , 1378.0      ,             910.52,           166,              5, SUR          , 2024-05-29     ,             0.2
TRX-10139     , PROD-1626, 2025-11-02 ,                6,            1042.77,       33.46,                  11, En Camino   , Bogotá        , Físico     , FB-8661    ,               1,                1, Excelente       , SI              , No                    ,           60, 41.1            , Monitores  , 729.0       ,            1414.28,           220,              5, ZONA_FRANCA  , 2025-01-23     ,             0.2
TRX-10145     , PROD-1260, 2024-11-21 ,                1,             683.64,        9.11,                   5, Entregado   , Bogotá        , App        , FB-9774    ,               5,                5, Excelente       , MAYBE           , No                    ,           37, 69.4            , Laptops    , 685.0       ,              74.06,           251,             10, BOD-EXT-99   , 2025-04-24     ,             5.0
TRX-10145     , PROD-1260, 2024-11-21 ,                1,             683.64,        9.11,                   5, Entregado   , Bogotá        , App        , FB-10010   ,               4,                1, Lento           , NO              , No                    ,           29, 74.9            , Laptops    , 685.0       ,              74.06,           251,             10, BOD-EXT-99   , 2025-04-24     ,             0.8
TRX-10145     , PROD-1260, 2024-11-21 ,                1,             683.64,        9.11,                   5, Entregado   , Bogotá        , App        , FB-11841   ,               5,                5, Lento           , SI              , Sí                    ,           82, 23.6            , Laptops    , 685.0       ,              74.06,           251,             10, BOD-EXT-99   , 2025-04-24     ,             5.0
TRX-10149     , PROD-2917, 2025-06-26 ,               13,            1111.0 ,       83.99,                   6, Devuelto    , Ventas_Web    , Online     , FB-9443    ,               4,                4, Precio justo    , SI              , No                    ,           44, 87.6            , Laptops    , 1014.0      ,             231.61,           148,             10, ZONA_FRANCA  , 2025-10-09     ,             3.2
TRX-10149     , PROD-2917, 2025-06-26 ,               13,            1111.0 ,       83.99,                   6, Devuelto    , Ventas_Web    , Online     , FB-11469   ,               3,                1, Dañado          , MAYBE           , Sí                    ,           32, -56.2           , Laptops    , 1014.0      ,             231.61,           148,             10, ZONA_FRANCA  , 2025-10-09     ,             0.6
TRX-10150     , PROD-3167, 2025-11-21 ,                3,             462.22,       56.77,                  22, Retrasado   , Barranquilla  , Físico     , FB-9373    ,               4,                5, Lento           , NO              , Sí                    ,           28, -95.3           , Smartphones, 188.0       ,            1284.79,           110,              5, NORTE        , 2024-07-11     ,             4.0
TRX-10151     , PROD-2029, 2025-10-01 ,               12,            1426.68,       33.94,                  11, Retrasado   , Bogotá        , App        , FB-9479    ,               4,                3, Excelente       , SI              , Sí                    ,           18, -89.0           , Monitores  , 1605.0      ,             793.67,           216,             10, NORTE        , 2025-08-24     ,             2.4
TRX-10153     , PROD-1047, 2025-07-01 ,               12,              51.75,       72.64,                  23, Devuelto    , Barranquilla  , App        , FB-8265    ,               1,                2, Lento           , MAYBE           , No                    ,           60, -48.1           , Smartphones, 1659.0      ,             697.74,           162,              5, NORTE        , 2025-04-06     ,             0.4
TRX-10153     , PROD-1047, 2025-07-01 ,               12,              51.75,       72.64,                  23, Devuelto    , Barranquilla  , App        , FB-10124   ,               4,                4, Excelente       , SI              , No                    ,           47, 2.4             , Smartphones, 1659.0      ,             697.74,           162,              5, NORTE        , 2025-04-06     ,             3.2
TRX-10156     , PROD-1469, 2025-07-11 ,               12,            1045.43,       52.36,                  14, Devuelto    , Medellín      , App        , FB-8240    ,               5,                2, Excelente       , SI              , Sí                    ,           39, -77.8           , Accesorios , 486.0       ,             419.0 ,           154,              5, NORTE        , 2025-11-13     ,             2.0
TRX-10158     , PROD-3199, 2025-10-11 ,                1,             514.82,        8.77,                   7, Retrasado   , Bogotá        , Online     , FB-8699    ,               5,                2, Precio justo    , SI              , Sí                    ,           33, -50.0           , Monitores  , 1887.0      ,             746.27,           116,             27, NORTE        , 2024-04-15     ,             2.0
TRX-10159     , PROD-2092, 2025-05-13 ,                1,             494.28,       91.3 ,                  19, Retrasado   , Bogotá        , Online     , FB-11169   ,               2,                1, Lento           , SI              , No                    ,           68, 56.6            , Tablets    , 1405.0      ,             496.34,           158,              5, OCCIDENTE    , 2024-05-04     ,             0.4
TRX-10161     , PROD-2393, 2025-11-01 ,               11,            1636.28,       71.25,                  27, Retrasado   , Medellín      , Físico     , FB-9628    ,               3,                3, Dañado          , NO              , Sí                    ,           67, 80.7            , Laptops    , 132.0       ,             751.07,           271,              3, ZONA_FRANCA  , 2025-04-24     ,             1.8
TRX-10162     , PROD-1456, 2025-02-15 ,               14,             182.45,       87.95,                  22, Entregado   , Bucaramanga   , Online     , FB-8495    ,               2,                4, Excelente       , SI              , Sí                    ,           68, 32.8            , Laptops    , 1935.0      ,             245.14,           115,             10, NORTE        , 2025-11-16     ,             1.6
TRX-10162     , PROD-1456, 2025-02-15 ,               14,             182.45,       87.95,                  22, Entregado   , Bucaramanga   , Online     , FB-10576   ,               3,                5, Excelente       , MAYBE           , No                    ,           36, 52.0            , Laptops    , 1935.0      ,             245.14,           115,             10, NORTE        , 2025-11-16     ,             3.0
TRX-10164     , PROD-2780, 2025-08-23 ,                9,             100.89,       83.89,                  13, Devuelto    , Ventas_Web    , Físico     , FB-11690   ,               1,                5, Excelente       , MAYBE           , No                    ,           22, 10.6            , Laptops    , 800.0       ,             783.59,           295,              3, OCCIDENTE    , 2024-11-18     ,             1.0
TRX-10166     , PROD-2858, 2025-03-12 ,               13,              88.17,       80.45,                  22, En Camino   , Bucaramanga   , App        , FB-10790   ,               2,                2, Lento           , MAYBE           , No                    ,           20, 85.7            , Smartphones, 1609.0      ,            1250.87,           162,             10, BOD-EXT-99   , 2025-10-12     ,             0.8
TRX-10170     , PROD-2078, 2025-11-09 ,                3,             571.72,       69.33,                  13, En Camino   , Ventas_Web    , Físico     , FB-10051   ,               4,                2, Precio justo    , NO              , Sí                    ,           51, -81.2           , Laptops    , 1060.0      ,             410.48,           112,             10, NORTE        , 2025-06-24     ,             1.6
TRX-10170     , PROD-2078, 2025-11-09 ,                3,             571.72,       69.33,                  13, En Camino   , Ventas_Web    , Físico     , FB-10976   ,               1,                3, Dañado          , SI              , No                    ,           29, 30.2            , Laptops    , 1060.0      ,             410.48,           112,             10, NORTE        , 2025-06-24     ,             0.6
TRX-10173     , PROD-3079, 2025-10-03 ,               12,            1948.22,       92.7 ,                  23, En Camino   , Bucaramanga   , Físico     , FB-8398    ,               4,                2, Dañado          , NO              , Sí                    ,           38, -44.8           , Smartphones, 142.0       ,            1318.38,           296,             27, SUR          , 2025-03-10     ,             1.6
TRX-10178     , PROD-3079, 2025-11-30 ,                5,            1109.22,       30.06,                   7, Devuelto    , Barranquilla  , Físico     , FB-10312   ,               1,                4, Excelente       , SI              , No                    ,           43, 66.4            , Smartphones, 142.0       ,            1318.38,           296,             27, SUR          , 2025-03-10     ,             0.8
TRX-10178     , PROD-3079, 2025-11-30 ,                5,            1109.22,       30.06,                   7, Devuelto    , Barranquilla  , Físico     , FB-10894   ,               3,                1, Excelente       , NO              , No                    ,           23, 47.4            , Smartphones, 142.0       ,            1318.38,           296,             27, SUR          , 2025-03-10     ,             0.6
TRX-10179     , PROD-3494, 2025-05-08 ,               11,            1569.35,       98.63,                  20, En Camino   , Ventas_Web    , Online     , FB-10364   ,               2,                3, Lento           , NO              , No                    ,           69, 3.2             , Monitores  , 1294.0      ,             512.29,           186,             27, OCCIDENTE    , 2024-09-17     ,             1.2
TRX-10180     , PROD-1814, 2025-07-06 ,                9,            1398.02,       52.36,                   7, En Camino   , Cali          , Online     , FB-8758    ,               5,                1, Dañado          , SI              , Sí                    ,           21, 9.2             , Accesorios , 1055.0      ,             657.69,           190,              5, ZONA_FRANCA  , 2025-10-07     ,             1.0
TRX-10180     , PROD-1814, 2025-07-06 ,                9,            1398.02,       52.36,                   7, En Camino   , Cali          , Online     , FB-11458   ,               4,                1, Excelente       , NO              , No                    ,           31, 40.6            , Accesorios , 1055.0      ,             657.69,           190,              5, ZONA_FRANCA  , 2025-10-07     ,             0.8
TRX-10183     , PROD-1661, 2024-09-24 ,               13,            1578.77,       33.28,                  21, Entregado   , Bucaramanga   , Online     , FB-8881    ,               5,                4, Excelente       , NO              , Sí                    ,           75, -91.1           , Smartphones, 464.0       ,            1209.69,           136,              0, NORTE        , 2025-10-17     ,             4.0
TRX-10189     , PROD-3001, 2025-02-04 ,                1,             380.33,       86.2 ,                  18, Retrasado   , Ventas_Web    , Físico     , FB-10732   ,               2,                1, Precio justo    , SI              , Sí                    ,           78, -33.6           , Accesorios , 1638.0      ,             775.9 ,           110,              5, NORTE        , 2024-09-11     ,             0.4
TRX-10190     , PROD-1079, 2025-04-14 ,                5,            1314.68,       54.57,                  15, Retrasado   , Cali          , Online     , FB-9480    ,               2,                2, Lento           , SI              , Sí                    ,           22, -22.3           , Accesorios , 758.0       ,             764.59,           298,              5, ZONA_FRANCA  , 2024-12-13     ,             0.8
TRX-10193     , PROD-2259, 2025-09-03 ,                2,             486.81,       47.69,                  23, Retrasado   , Medellín      , Online     , FB-10108   ,               3,                1, Excelente       , NO              , No                    ,           27, 45.9            , Smartphones, 1389.0      ,            1201.21,           124,             27, BOD-EXT-99   , 2025-03-01     ,             0.6
TRX-10194     , PROD-1980, 2025-09-05 ,                4,             874.45,       45.32,                  28, Entregado   , Barranquilla  , Físico     , FB-8668    ,               2,                2, Dañado          , SI              , No                    ,           69, 29.1            , Accesorios , 794.0       ,            1078.61,           107,             27, NORTE        , 2024-05-02     ,             0.8
TRX-10196     , PROD-1986, 2025-10-26 ,                2,            1751.86,       32.52,                   3, Retrasado   , Barranquilla  , Online     , FB-8942    ,               5,                4, Dañado          , SI              , Sí                    ,           68, 87.8            , Accesorios , 450.0       ,            1324.96,           129,             27, BOD-EXT-99   , 2024-10-26     ,             4.0
TRX-10201     , PROD-2990, 2025-10-25 ,                3,             437.14,       72.67,                  25, Retrasado   , Bogotá        , Online     , FB-8413    ,               5,                3, Precio justo    , SI              , No                    ,           39, -48.5           , Accesorios , 594.0       ,              98.46,           230,              0, NORTE        , 2024-06-02     ,             3.0
TRX-10202     , PROD-1283, 2025-01-31 ,               13,            1979.27,       98.76,                  22, En Camino   , Cali          , Online     , FB-9148    ,               1,                2, No volvería     , SI              , Sí                    ,           33, -49.1           , Smartphones, 1788.0      ,             903.11,           176,             10, SUR          , 2025-10-12     ,             0.4
TRX-10202     , PROD-1283, 2025-01-31 ,               13,            1979.27,       98.76,                  22, En Camino   , Cali          , Online     , FB-11830   ,               2,                4, Dañado          , NO              , Sí                    ,           43, -12.0           , Smartphones, 1788.0      ,             903.11,           176,             10, SUR          , 2025-10-12     ,             1.6
TRX-10204     , PROD-1515, 2024-12-24 ,                6,             585.06,       52.36,                  25, En Camino   , Ventas_Web    , App        , FB-10289   ,               2,                5, Excelente       , MAYBE           , No                    ,           54, -34.1           , Smartphones, 717.0       ,            1282.44,           133,              5, SUR          , 2025-03-18     ,             2.0
TRX-10208     , PROD-3251, 2025-11-29 ,                5,             623.39,       74.05,                   4, Perdido     , Ventas_Web    , Online     , FB-11160   ,               4,                2, Excelente       , MAYBE           , Sí                    ,           84, -67.7           , Smartphones, 987.0       ,            1042.85,           128,              0, SUR          , 2025-10-22     ,             1.6
TRX-10210     , PROD-2085, 2025-04-30 ,               11,            1214.24,       22.3 ,                  15, Entregado   , Bogotá        , App        , FB-9103    ,               2,                2, Lento           , NO              , Sí                    ,           34, -19.6           , Laptops    , 311.0       ,              60.12,           262,             10, SUR          , 2025-05-03     ,             0.8
TRX-10215     , PROD-3208, 2024-12-22 ,               12,            1313.57,       90.93,                  12, En Camino   , Bogotá        , App        , FB-11034   ,               2,                5, Excelente       , NO              , No                    ,           55, 77.9            , Tablets    , 1424.0      ,             328.86,           105,              5, ZONA_FRANCA  , 2025-03-28     ,             2.0
TRX-10221     , PROD-2634, 2024-09-24 ,               13,             625.02,       53.98,                  22, Retrasado   , Bogotá        , Físico     , FB-10123   ,               5,                5, Excelente       , MAYBE           , Sí                    ,           49, 20.0            , Monitores  , -41.0       ,             890.75,           156,              5, ZONA_FRANCA  , 2025-08-10     ,             5.0
TRX-10227     , PROD-2849, 2025-11-09 ,               12,            1827.48,       15.99,                   1, En Camino   , Medellín      , App        , FB-9714    ,               4,                1, Precio justo    , MAYBE           , Sí                    ,           53, -50.2           , Tablets    , 1441.0      ,             286.86,           220,             10, NORTE        , 2025-02-26     ,             0.8
TRX-10231     , PROD-1262, 2025-09-27 ,                4,            1275.16,       88.36,                  10, En Camino   , Medellín      , Online     , FB-10102   ,               3,                2, Precio justo    , SI              , Sí                    ,           40, -1.2            , Monitores  , 1959.0      ,             923.55,           244,              5, OCCIDENTE    , 2025-02-05     ,             1.2
TRX-10232     , PROD-2384, 2025-04-04 ,               14,            1374.2 ,       96.08,                  10, Perdido     , Medellín      , App        , FB-10585   ,               2,                1, Precio justo    , SI              , Sí                    ,           62, -75.4           , Laptops    , 581.0       ,              67.4 ,           229,              0, SUR          , 2025-08-08     ,             0.4
TRX-10235     , PROD-3268, 2025-12-03 ,                1,            1837.84,       39.45,                   7, Perdido     , Ventas_Web    , Online     , FB-10614   ,               2,                1, Excelente       , SI              , Sí                    ,           32, 10.0            , Monitores  , 1699.0      ,             943.62,           283,             10, NORTE        , 2025-12-14     ,             0.4
TRX-10238     , PROD-1902, 2024-10-24 ,               13,            1231.19,       52.92,                  21, Devuelto    , Barranquilla  , Online     , FB-8912    ,               3,                1, Excelente       , SI              , No                    ,           61, -74.1           , Laptops    , 1880.0      ,             239.54,           150,             10, SUR          , 2025-02-10     ,             0.6
TRX-10244     , PROD-1937, 2024-10-27 ,               12,              43.89,       40.87,                  16, Perdido     , Cali          , Online     , FB-10437   ,               1,                4, Lento           , MAYBE           , Sí                    ,           38, -1.3            , Monitores  , 139.0       ,             262.71,           114,             10, NORTE        , 2025-03-30     ,             0.8
TRX-10244     , PROD-1937, 2024-10-27 ,               12,              43.89,       40.87,                  16, Perdido     , Cali          , Online     , FB-11696   ,               5,                5, Excelente       , SI              , No                    ,           45, 51.9            , Monitores  , 139.0       ,             262.71,           114,             10, NORTE        , 2025-03-30     ,             5.0
